rid,singer,title,clean_title,occurrences,appeared
155169760,BEYOND,海阔天空 (chunk 1),海阔天空 (chunk 1),0,0
68775530,BEYOND,冷雨夜,冷雨夜,6,1
363246,BEYOND,逝去日子,逝去日子,10,1
1106150,BEYOND,午夜怨曲,午夜怨曲,0,0
378414277,BEYOND,灰色軌跡 (Grey Trail),灰色軌跡 (Grey Trail),0,0
174205,BEYOND,谁伴我闯荡,谁伴我闯荡,2,1
174183,BEYOND,无悔这一生,无悔这一生,1,1
21120764,BEYOND,光辉岁月,光辉岁月,5,1
79376,BEYOND,无尽空虚,无尽空虚,4,1
174172,BEYOND,谁伴我闯荡,谁伴我闯荡,2,1
21765238,BEYOND,海阔天空,海阔天空,0,0
332301462,BEYOND,海阔天空 (Edit),海阔天空 (Edit),0,0
157908,张学友,吻别,吻别,6,1
157606,张学友,一路上有你,一路上有你,8,1
157767,张学友,等你等到我心痛,等你等到我心痛,0,0
4076579,张学友,旧情绵绵,旧情绵绵,0,0
357996004,张学友,一千个伤心的理由,一千个伤心的理由,12,1
377528,张学友,等你等到我心痛,等你等到我心痛,0,0
328049,张学友,我等到花儿也谢了,我等到花儿也谢了,7,1
157612,张学友,如果这都不算爱,如果这都不算爱,4,1
157938,张学友,偷心,偷心,0,0
158181,张学友,祝福,祝福,3,1
157761,张学友,只想一生跟你走,只想一生跟你走,0,0
158082,张学友,忘情冷雨夜,忘情冷雨夜,0,0
54272,张学友,只想一生跟你走,只想一生跟你走,0,0
25251970,张学友,遥远的她,遥远的她,6,1
328050,张学友,一千个伤心的理由,一千个伤心的理由,12,1
122173,张学友,一千个伤心的理由 (Live),一千个伤心的理由,12,1
225689,张学友,烦恼歌,烦恼歌,0,0
158039,张学友,如果这都不算爱,如果这都不算爱,4,1
99018,张学友,忘记你我做不到,忘记你我做不到,6,1
158205,张学友,情系半生,情系半生,0,0
99011,张学友,心如刀割,心如刀割,2,1
158190,张学友,相思风雨中,相思风雨中,2,1
99020,张学友,情书,情书,6,1
237807,张学友,想和你去吹吹风,想和你去吹吹风,0,0
157907,张学友,情网,情网,0,0
201182467,王力宏,天地龙鳞,天地龙鳞,0,0
102428,王力宏,爱错,爱错,5,1
271333,王力宏,我们的歌,我们的歌,5,1
3307158,王力宏,你不知道的事,你不知道的事,3,1
844993,王力宏,需要人陪,需要人陪,3,1
123002,王力宏,大城小爱,大城小爱,0,0
36878203,王力宏,缘分一道桥,缘分一道桥,0,0
1172909,王力宏,大城小爱,大城小爱,0,0
152718,王力宏,花田错,花田错,0,0
459553,王力宏,心跳,心跳,6,1
269038,王力宏,好心分手,好心分手,1,1
271337,王力宏,改变自己,改变自己,7,1
102433,王力宏,心中的日月,心中的日月,6,1
1094546,王力宏,爱错,爱错,5,1
3138971,王力宏,龙的传人,龙的传人,6,1
41224784,王力宏,唯一,唯一,6,1
23543604,王力宏,我们的歌,我们的歌,5,1
1094249,王力宏,依然爱你,依然爱你,12,1
271374,王力宏,你是我心内的一首歌,你是我心内的一首歌,2,1
3424900,王力宏,好心分手 (合唱版),好心分手 (合唱版),0,0
373778,王力宏,爱的就是你,爱的就是你,18,1
6247223,王力宏,爱一点,爱一点,0,0
562768,王力宏,爱错 (Live),爱错,6,1
459547,王力宏,春雨里洗过的太阳,春雨里洗过的太阳,7,1
228429,王力宏,好心分手,好心分手,1,1
149073,刘德华,暗里着迷 (粤),暗里着迷 (粤),0,0
51525519,刘德华,暗里着迷 (Radio Edit),暗里着迷 (Radio Edit),0,0
325771,刘德华,忘情水,忘情水,6,1
79245,刘德华,17岁,17岁,0,0
107200,刘德华,一起走过的日子,一起走过的日子,1,1
45851778,刘德华,来生缘,来生缘,0,0
626867,刘德华,来生缘,来生缘,0,0
148993,刘德华,一起走过的日子,一起走过的日子,1,1
148747,刘德华,世界第一等,世界第一等,3,1
329669,刘德华,今天,今天,6,1
92088,刘德华,练习,练习,6,1
327687,刘德华,冰雨,冰雨,3,1
359900,刘德华,恭喜发财,恭喜发财,4,1
28532548,刘德华,练习,练习,6,1
325760,刘德华,情感的禁区,情感的禁区,6,1
22857473,刘德华,忘情水 (98新编重唱版),忘情水 (98新编重唱版),0,0
1226269,刘德华,独自去偷欢 (Original Mix),独自去偷欢 (Original Mix),0,0
22818759,刘德华,谢谢你的爱,谢谢你的爱,4,1
981432,刘德华,天意,天意,6,1
10642943,刘德华,17岁,17岁,0,0
1967707,刘德华,17岁,17岁,0,0
22815190,刘德华,开心的马骝,开心的马骝,0,0
540927,刘德华,无间道,无间道,2,1
56183,刘德华,今天,今天,6,1
148946,刘德华,男人哭吧不是罪,男人哭吧不是罪,0,0
1044318,周传雄,黄昏,黄昏,8,1
320462,周传雄,青花,青花,5,1
492209,周传雄,冬天的秘密,冬天的秘密,2,1
111658,周传雄,寂寞沙洲冷,寂寞沙洲冷,0,0
492211,周传雄,关不上的窗,关不上的窗,0,0
4278514,周传雄,关不上的窗,关不上的窗,0,0
600825110,周传雄,烟雨平生,烟雨平生,0,0
156306,周传雄,男人海洋,男人海洋,0,0
156404,周传雄,我的心太乱,我的心太乱,12,1
51498063,周传雄,蓝色土耳其,蓝色土耳其,4,1
92041,周传雄,黄昏,黄昏,8,1
286264018,周传雄,黄昏 (3D环绕版),黄昏 (3D环绕版),0,0
320463,周传雄,弱水三千,弱水三千,2,1
6874743,周传雄,黄昏,黄昏,8,1
5052923,周传雄,花香,花香,8,1
38837136,周传雄,寂寞沙洲冷 (Live),寂寞沙洲冷,0,0
156408,周传雄,暖风,暖风,6,1
1044316,周传雄,记事本,记事本,1,1
1033999,周传雄,花香,花香,8,1
22831436,周传雄,黄昏 (Live),黄昏,8,1
1033996,周传雄,有没有一首歌会让你想起我,有没有一首歌会让你想起我,0,0
1044312,周传雄,出卖,出卖,6,1
171422611,周传雄,男人海洋,男人海洋,0,0
156365,周传雄,吉普赛情人,吉普赛情人,0,0
6749354,周传雄,关不上的窗 (Live),关不上的窗,0,0
203164,刀郎,西海情歌,西海情歌,0,0
288010178,刀郎,罗刹海市,罗刹海市,0,0
90515,刀郎,冲动的惩罚,冲动的惩罚,0,0
125223,刀郎,2002年的第一场雪,2002年的第一场雪,4,1
102868,刀郎,喀什噶尔胡杨,喀什噶尔胡杨,0,0
